City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
290,Teguldet,RU,57.3064,88.1667,243.03,86,12,2.86
291,Gigmoto,PH,13.7796,124.39,297.82,76,100,9.38
292,Saldanha,ZA,-33.0117,17.9442,291.55,83,46,5.38
293,Charters Towers,AU,-20.1,146.2667,304.8,31,76,4.42
294,Kupang,ID,-10.1667,123.5833,298.15,94,75,2.57
295,Amahai,ID,-3.3333,128.9167,303.68,59,94,1.25
296,Sorong,ID,-0.8833,131.25,301.67,71,96,2.79
297,San Giovanni Rotondo,IT,41.7049,15.7191,282.15,93,0,3.6
298,Kunda,IN,25.7167,81.5167,283.09,50,0,3.48
299,Road Town,VG,18.4167,-64.6167,298.15,73,20,2.57
300,Mardin,TR,37.3131,40.7436,272.07,100,15,0.67
301,Prince Rupert,CA,54.3161,-130.3201,276.15,70,90,3.6
302,Tolbazy,RU,54.0241,55.8825,270.15,86,90,4.0
303,Sola,VU,-13.8833,167.55,304.15,74,75,2.57
304,Beinamar,TD,8.6698,15.3813,292.44,23,0,1.94
305,Bengkulu,ID,-3.8004,102.2655,302.42,63,100,1.05
306,Saveh,IR,35.0213,50.3566,278.84,86,36,0.91
307,Port-Gentil,GA,-0.7193,8.7815,299.95,82,100,5.37
308,Daru,PG,-9.0763,143.2092,299.26,87,99,5.5
309,Sangre Grande,TT,10.5835,-61.1177,297.59,88,40,3.41
310,Shimoda,JP,34.6667,138.95,280.15,49,40,2.06
311,Tilichiki,RU,60.4667,166.1,254.53,94,100,5.52
312,Hammond,US,41.5834,-87.5,272.15,69,1,2.57
313,Billings,US,45.7833,-108.5007,277.15,48,75,0.23
314,Pevek,RU,69.7008,170.3133,238.67,85,17,1.76
315,Martapura,ID,-3.4167,114.85,299.15,89,40,0.5
316,Hasaki,JP,35.7333,140.8333,279.26,24,20,8.75
317,Kaoma,ZM,-14.7833,24.8,290.32,95,50,1.21
318,Jodar,ES,37.8406,-3.3526,286.48,99,60,1.59
319,La Ronge,CA,55.1001,-105.2842,260.15,85,71,2.06
320,Camana,PE,-16.6228,-72.7111,294.08,75,5,3.33
321,Byron Bay,AU,-28.65,153.6167,301.15,65,75,4.63
322,Rongcheng,CN,30.634,117.8517,285.9,41,47,0.44
323,Cherskiy,RU,68.75,161.3,236.71,83,6,1.27
324,Takaka,NZ,-40.85,172.8,290.37,74,43,0.89
325,Airai,TL,-8.9266,125.4092,290.87,100,100,1.82
326,Kodiak,US,57.79,-152.4072,275.15,64,75,9.77
327,Imeni Poliny Osipenko,RU,52.4201,136.4853,253.03,90,100,3.89
328,Sterling,US,39.0062,-77.4286,270.93,46,75,4.63
329,Hami,CN,42.8,93.45,270.08,79,0,0.83
330,Puerto Escondido,MX,15.85,-97.0667,300.15,83,90,4.12
331,Vao,NC,-22.6667,167.4833,297.79,74,41,9.01
332,Zaozerne,UA,45.1582,33.2787,280.93,63,97,2.24
333,Belmonte,BR,-15.8631,-38.8828,299.15,73,20,5.14
334,Grootfontein,NA,-19.5667,18.1167,292.15,94,100,1.54
335,Katsuura,JP,35.1333,140.3,280.15,26,20,6.69
336,Sinnamary,GF,5.3833,-52.95,298.16,88,93,5.86
337,Greenville,US,35.6127,-77.3663,271.15,69,1,1.98
338,Alta Floresta,BR,-9.8756,-56.0861,295.38,94,83,0.71
339,Soyo,AO,-6.1349,12.3689,298.79,86,100,2.36
340,Taoudenni,ML,22.6783,-3.9836,292.12,26,0,5.1
