City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
241,Sarany,RU,267.58,58.5,58.8833,
242,Flinders,AU,294.82,-34.5833,150.8552,Shellharbour Resort & Conference Centre
243,Mayo,US,275.93,38.8876,-76.5119,Resorts Resource Group International
244,Vallenar,CL,301.48,-28.5708,-70.7581,Humacao Bed & Breakfast
245,Sao Joao Da Barra,BR,302.15,-21.6403,-41.0511,Pousada Porto De Canoas
246,Caluquembe,AO,290.59,-13.7833,14.6833,
247,Xining,CN,262.15,36.6167,101.7667,Super Leisure Hotel
248,Kavieng,PG,301.39,-2.5744,150.7967,Nusa Island Retreat
249,Clyde River,CA,258.15,70.4692,-68.5914,Qamaq Hotel
250,Sambava,MG,299.35,-14.2667,50.1667,Melrose
251,Sao Gabriel Da Cachoeira,BR,304.15,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
252,Pavlodar,KZ,270.15,52.3,76.95,Sary Arka
253,Piacabucu,BR,300.0,-10.4056,-36.4344,Piaçabuçu News
254,Mahon,ES,284.15,39.8885,4.2658,ARTIEM Capri
255,Kuznechnoye,RU,273.71,61.12,29.8686,Konferents Hotel
256,Iqaluit,CA,254.26,63.7506,-68.5145,Frobisher Inn
257,Hamilton,US,280.37,39.1834,-84.5333,Six Acres Bed & Breakfast
258,Vanavara,RU,231.09,60.34,102.2797,
259,Takhtamygda,RU,246.61,54.1,123.5667,
260,Saint-Georges,GD,301.15,12.0564,-61.7485,Siesta Hotel
261,Hasaki,JP,280.15,35.7333,140.8333,Inubosaki Kanko Hotel
262,Hope,US,293.71,33.6671,-93.5916,Best Western Hope
263,Tahe,CN,247.92,52.3333,124.7333,塔河宾馆
264,Sao Sebastiao,BR,300.33,-23.76,-45.4097,Hotel Recanto dos Pássaros
265,Ayios Athanasios,GR,278.15,41.0667,24.25,Hotel Alexandros
266,Ilulissat,GL,262.15,69.2167,-51.1,Hotel Arctic
267,Pioner,RU,246.15,55.3166,85.9508,Park-hotel Akvarium
268,Correntina,BR,304.28,-13.3433,-44.6367,Hotel Pousada dos Sonhos
269,Amahai,ID,302.59,-3.3333,128.9167,HOTEL ISABELA
270,Geraldton,AU,292.85,-28.7667,114.6,Broadwater Mariner Resort
271,Luena,AO,290.55,-11.7833,19.9167,Hotel Kandamba
272,Lorengau,PG,301.42,-2.0226,147.2712,Lorengau Harbourside Hotel
273,Palu,ID,296.99,-0.8917,119.8707,Hotel Santika Palu
274,Eustis,US,299.15,28.8528,-81.6853,Quality Inn & Suites Mt Dora North
275,Epe,NG,299.42,6.5841,3.9834,MAGVILLE HOTEL
276,Buraydah,SA,289.15,26.326,43.975,Mövenpick Hotel Qassim
277,Sadri,IN,285.11,25.1833,73.4333,Chandra Hill Resort
278,Natal,BR,302.15,-5.795,-35.2094,Villa Park Hotel | Natal
279,Dombarovskiy,RU,266.48,50.7587,59.5386,
280,Hovd,MN,253.19,48.0056,91.6419,Buyant Hotel
281,Tazovskiy,RU,240.14,67.4667,78.7,TazHostel
282,Kirakira,SB,301.91,-10.4544,161.9205,SanBiz Lodge
283,Salinopolis,BR,301.31,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
284,Los Andes,CL,303.71,-32.8337,-70.5983,Hotel Los Andes
285,Mtwara,TZ,299.15,-10.2667,40.1833,Til Hotels
286,Taltal,CL,295.87,-25.4,-70.4833,Residencial Karime
287,Krasnomayskiy,RU,273.42,57.6194,34.4099,
288,Port Elizabeth,ZA,293.15,-33.918,25.5701,39 On Nile Guest House
289,Havoysund,NO,270.15,70.9963,24.6622,Arctic View Glamping & Restaurant
290,Umm Lajj,SA,295.96,25.0213,37.2685,Moon light Furnished Units
291,Goodyear,US,284.82,33.4353,-112.3582,Best Western Phoenix Goodyear Inn
292,Moerai,PF,300.11,-22.4333,-151.3333,Le Manotel
293,Ancud,CL,290.15,-41.8697,-73.8203,Hotel Arena Gruesa
294,Miandoab,IR,270.25,36.9694,46.1027,موبایل جمهموری
295,Krasnyye Barrikady,RU,270.93,46.2045,47.8535,Baza Otdykha
296,Fairbanks,US,246.48,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
297,West Plains,US,277.59,36.7281,-91.8524,West Plains Motel
298,Lowicz,PL,273.71,52.1071,19.9453,Hotel Eco
299,Zabol,AF,272.2,32.25,67.25,
300,Kurskaya,RU,274.5,44.05,44.45,Gostinitsa
